 schemaname |        tablename        |                 policyname                  | permissive |  roles   | cmd |                                                                qual                                                                |                                                           with_check                                                           
 public     | deals                   | deals_workspace_isolation                   | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | dnc_lists               | dnc_lists_workspace_isolation               | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | duplicate_flags         | duplicate_flags_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_audiences         | email_audiences_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_events            | email_events_workspace_isolation            | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_inboxes           | email_inboxes_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_sends             | email_sends_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_templates         | email_templates_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_threads           | email_threads_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_verification_logs | email_verif_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = COALESCE(NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text), (workspace_id)::text)) | 
