         table_name         |         column_name          |        data_type         | prec |            defaut             
 rotations                  | created_at                   | timestamp with time zone | 6    | now()
 rotations                  | last_used_at                 | timestamp with time zone | 6    | (aucun)
 rotations                  | updated_at                   | timestamp with time zone | 6    | now()
 saved_views                | created_at                   | timestamp with time zone | 6    | now()
 saved_views                | updated_at                   | timestamp with time zone | 6    | now()
 scraper_runs               | created_at                   | timestamp with time zone | 6    | now()
 scraper_runs               | finished_at                  | timestamp with time zone | 6    | (aucun)
 scraper_runs               | started_at                   | timestamp with time zone | 6    | (aucun)
 scraper_runs               | updated_at                   | timestamp with time zone | 6    | now()
 scraping_campaigns         | created_at                   | timestamp with time zone | 6    | now()
 scraping_campaigns         | deleted_at                   | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | expires_at                   | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | finished_at                  | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | paused_at                    | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | scheduled_at                 | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | started_at                   | timestamp with time zone | 6    | (aucun)
 scraping_campaigns         | updated_at                   | timestamp with time zone | 6    | now()
 scraping_sources           | created_at                   | timestamp with time zone | 6    | now()
 scraping_sources           | updated_at                   | timestamp with time zone | 6    | now()
 strategic_keywords         | created_at                   | timestamp with time zone | 6    | now()
 tags                       | created_at                   | timestamp with time zone | 6    | now()
 tags                       | updated_at                   | timestamp with time zone | 6    | now()
 unsubscribes               | unsubscribed_at              | timestamp with time zone | 6    | now()
 user_agents                | created_at                   | timestamp with time zone | 6    | now()
 user_workspaces            | invited_at                   | timestamp with time zone | 6    | now()
 user_workspaces            | joined_at                    | timestamp with time zone | 6    | (aucun)
 user_workspaces            | revoked_at                   | timestamp with time zone | 6    | (aucun)
 users                      | created_at                   | timestamp with time zone | 6    | now()
 users                      | deleted_at                   | timestamp with time zone | 6    | (aucun)
 users                      | email_verified_at            | timestamp with time zone | 6    | (aucun)
